style,current_level,yoy_growth,projected_level,projected_growth,trend_slope_per_week,mean_sentiment,mean_rating,n_reviews,z_momentum,z_sentiment,z_buzz,trend_score,verdict
wide-leg jeans,63.96510026596757,5.56151846033665,69.41099250303283,5.445892237065259,0.1058885349739755,0.7917851618320408,3.9072164948453607,291,1.584811427045107,1.2737148185973761,1.5403080924308108,1.4825817775879284,RISING
oversized blazer,57.39269880484759,3.647737028594911,61.30979433816348,3.9170955333158872,0.04578402086346,0.7743132233744715,3.86411149825784,287,1.070457789778177,1.0825051423605714,0.42008402520840293,0.9439972426389406,RISING
ballet flats,53.055861459128025,1.040388394233858,54.43702672264792,1.3811652635198897,0.0218001577080784,0.702386319832109,3.607017543859649,285,0.21726066099975605,0.29535035856537234,-0.14002800840280097,0.16922983638892952,RISING
cargo pants,42.88999076326938,2.551686253653479,45.33533257560162,2.445341812332238,0.0423809495971281,0.6000244257726366,3.2867132867132867,286,0.5752958904278368,-0.8248793554775142,0.14002800840280097,0.06818974025122433,RISING
trench coat,33.796095723485784,-3.1013423783102425,31.68870045799609,-2.107395265489693,-0.032896682763863,0.7029274843836045,3.552083333333333,288,-0.9564426787060883,0.30127276373716205,0.7001400420140048,-0.2478115018290946,FADING
puffer jacket,49.49734924233079,-0.2186622369954278,49.4971183815629,-0.0002308607678855,0.0038026754451508,0.7362173943346503,3.758992805755396,278,-0.24750101678990222,0.665591406408101,-2.100420126042015,-0.3441571116809238,FADING
slip dress,36.30792105896011,-0.7114910382843647,35.150679653662806,-1.157241405297306,-0.0171107831666764,0.5509472799113795,3.1783216783216783,286,-0.6367696360087858,-1.361970600020674,0.14002800840280097,-0.6989703963300348,FADING
chunky sneakers,33.15162082805914,-3.319328767862153,29.11026085570622,-4.041359972352918,-0.0810430078839017,0.544586250505384,3.081272084805654,283,-1.6071124367461003,-1.4315845341703937,-0.7001400420140048,-1.373059587026969,FADING
