style,current_level,yoy_growth,projected_level,projected_growth,trend_slope_per_week
wide-leg jeans,63.96510026596757,5.56151846033665,69.41099250303283,5.445892237065259,0.1058885349739755
oversized blazer,57.39269880484759,3.6477370285949107,61.30979433816348,3.9170955333158872,0.045784020863460013
cargo pants,42.88999076326938,2.551686253653479,45.33533257560162,2.445341812332238,0.0423809495971281
ballet flats,53.055861459128025,1.040388394233858,54.437026722647914,1.3811652635198897,0.021800157708078496
puffer jacket,49.497349242330785,-0.21866223699542786,49.4971183815629,-0.00023086076788558785,0.0038026754451508573
slip dress,36.30792105896011,-0.7114910382843647,35.150679653662806,-1.157241405297306,-0.017110783166676424
trench coat,33.796095723485784,-3.1013423783102425,31.68870045799609,-2.107395265489693,-0.03289668276386309
chunky sneakers,33.15162082805914,-3.319328767862153,29.11026085570622,-4.041359972352918,-0.08104300788390177
